Work Travel,Count,Lat,Long
" Denver, CO",1,39.7392,-104.9903
" Kona, HI",1,19.64,-155.9969
" La Quinta, CA",1,33.6634,-116.31
" Miami, FL",1,25.7617,-80.1918
" San Antonio, TX",1,29.4241,-98.4936
" Vancouver, BC, Canada",1,49.2827,-123.1207
"Atlanta, GA",3,33.749,-84.388
"Birmingham, United Kingdom",1,52.4862,-1.8904
"Boston, MA",1,42.3601,-71.0589
"Canary Islands, Spain",1,28.2916,-16.6291
"Chicago, IL",3,41.8781,-87.6298
"Cleveland, OH",4,41.4993,-81.6944
"Crystal City, VA",2,38.8554,-77.0521
"Dallas, TX",1,32.7767,-96.797
"Denver, CO",1,39.7392,-104.9903
"Des Moines, IA",1,41.5868,-93.625
"Detroit, MI",1,42.3314,-83.0458
"Greenbelt, MD",1,39.0046,-76.8755
"Houston, TX",1,29.7604,-95.3698
"Kansas City, MO",1,39.0997,-94.5786
"Las Vegas, NV",1,36.1699,-115.1398
"Louisville, KY",1,38.2527,-85.7585
"Madison, WI",1,43.0731,-89.4012
"Maui, HI",1,20.7984,-156.3319
"Minneapolis, MN",2,44.9778,-93.265
"New York, NY",4,40.7128,-74.006
"Newark, NJ",1,40.7357,-74.1724
"Oahu, HI",2,21.4389,-158.0001
"Orlando, FL",2,28.5383,-81.3792
"Palm Springs, CA",1,33.8303,-116.5453
"Philedelphia, PA",1,39.9526,-75.1652
"Phoenix, AZ",1,33.4484,-112.074
Rio,1,-22.970722,-43.182365
"Salt Lake City, UT",1,40.7608,-111.891
"San Fransico, CA",3,37.7749,-122.4194
"San Jose, CA",1,37.3382,-121.8863
"Spokane, WA",1,47.6588,-117.426
"Tampa, FL",1,27.9506,-82.4572
"Washington, DC",4,38.9072,-77.0369
